ImageNumber,Image_Metadata_GeneID,Image_Metadata_Plate,Image_Metadata_Well,Signal
879,SMARCA4,P15,E10,658
880,NACA,P15,E11,757
881,neg,P15,F02,813
882,SMARCA2,P15,F03,824
883,SMARCD1,P15,F04,785
884,NFIA,P15,F05,670
885,TCF12,P15,F06,737
886,SMARCC1,P15,F07,623
887,SKP1,P15,F08,786
888,neg,P15,F09,679
889,TCF7L2,P15,F10,743
890,TCF12,P15,F11,765
891,Pos,P15,G02,1445
892,NACA,P15,G03,766
893,TCF7L2,P15,G04,918
894,TCF3,P15,G05,919
895,HLTF,P15,G06,808
896,SMARCA1,P15,G07,576
897,Ebf1,P15,G08,742
898,NFATC3,P15,G09,697
899,NFIA,P15,G10,684
900,SIX1,P15,G11,1065
901,neg,P16,B02,1855
902,VPS72,P16,B03,1773
903,PPARG,P16,B04,1817
904,NFIL3,P16,B05,2368
905,PSMC5,P16,B06,1643
906,NFIC,P16,B07,1468
907,NFKB1,P16,B08,1871
908,SMARCD3,P16,B09,2940
909,Ebf1,P16,B10,1766
910,NFIB,P16,B11,1706
911,Pos,P16,C02,2459
912,NFKBIB,P16,C03,1254
913,NFKB1,P16,C04,1525
914,NFIC,P16,C05,1548
915,PSMC3,P16,C06,957
916,MLX,P16,C07,1763
917,VPS72,P16,C08,1317
918,NFKBIB,P16,C09,1239
919,NFIX,P16,C10,1600
920,neg,P16,C11,1533
921,neg,P16,D02,1923
922,PSMC3,P16,D03,1109
923,PSMC5,P16,D04,1718
924,NFE2L2,P16,D05,1678
925,neg,P16,D06,1408
926,SMARCD3,P16,D07,2047
927,NFE2L1,P16,D08,1238
928,SMARCD2,P16,D09,1319
929,NFIL3,P16,D10,1629
930,NFKB2,P16,D11,1926
931,Pos,P16,E02,3036
932,MLX,P16,E03,1823
933,PPARG,P16,E04,1816
934,Ebf1,P16,E05,1861
935,SMARCD2,P16,E06,1597
936,VPS72,P16,E07,1385
937,NFKB2,P16,E08,1997
938,PSMC5,P16,E09,1618
939,PSMC3,P16,E10,1339
940,NFE2L2,P16,E11,2365
941,neg,P16,F02,1343
942,NFKB1,P16,F03,1537
943,SMARCD3,P16,F04,2223
944,NFIB,P16,F05,1458
945,NFIX,P16,F06,1271
946,NFKBIB,P16,F07,1309
947,PPARG,P16,F08,1653
948,neg,P16,F09,1446
949,NFE2L1,P16,F10,1833
950,NFIX,P16,F11,1788
951,Pos,P16,G02,2555
952,NFE2L2,P16,G03,1659
953,NFE2L1,P16,G04,1743
954,SMARCD2,P16,G05,1703
955,NFKB2,P16,G06,1722
956,NFIL3,P16,G07,1796
957,Ebf1,P16,G08,1897
958,NFIC,P16,G09,1556
959,NFIB,P16,G10,1335
960,MLX,P16,G11,1850
961,neg,P17,B02,1953
962,TDG,P17,B03,1338
963,SOX4,P17,B04,1479
964,SOX5,P17,B05,2073
965,TSG101,P17,B06,1779
966,TFAM,P17,B07,1678
967,NR2C2,P17,B08,1892
968,ZNF207,P17,B09,1958
969,Ebf1,P17,B10,1877
970,TEF,P17,B11,1595
971,Pos,P17,C02,3094
972,TRPS1,P17,C03,1845
973,NR2C2,P17,C04,1470
974,TFAM,P17,C05,1249
975,ZNF192,P17,C06,1276
976,TEAD1,P17,C07,1271
977,TDG,P17,C08,1242
978,TRPS1,P17,C09,1679
979,NR2C1,P17,C10,1238
980,neg,P17,C11,1755
981,neg,P17,D02,1801
982,ZNF192,P17,D03,1409
983,TSG101,P17,D04,1496
984,TEAD3,P17,D05,1338
985,neg,P17,D06,1237
986,ZNF207,P17,D07,1365
987,SNAPC2,P17,D08,1180
988,SMARCE1,P17,D09,1221
989,SOX5,P17,D10,1619
990,ZNF189,P17,D11,998
991,Pos,P17,E02,3118
992,TEAD1,P17,E03,1734
993,SOX4,P17,E04,1412
994,Ebf1,P17,E05,1675
995,SMARCE1,P17,E06,1208
996,TDG,P17,E07,1041
997,ZNF189,P17,E08,1090
998,TSG101,P17,E09,1873
999,ZNF192,P17,E10,1808
1000,TEAD3,P17,E11,1575
1001,neg,P17,F02,1825
1002,NR2C2,P17,F03,1478
1003,ZNF207,P17,F04,1610
1004,TEF,P17,F05,1264
1005,NR2C1,P17,F06,1345
1006,TRPS1,P17,F07,1401
1007,SOX4,P17,F08,1338
1008,neg,P17,F09,1621
1009,SNAPC2,P17,F10,1444
1010,NR2C1,P17,F11,1193
1011,Pos,P17,G02,2832
1012,TEAD3,P17,G03,1419
1013,SNAPC2,P17,G04,1501
1014,SMARCE1,P17,G05,1518
1015,ZNF189,P17,G06,1008
1016,SOX5,P17,G07,1641
1017,Ebf1,P17,G08,1643
1018,TFAM,P17,G09,1436
1019,TEF,P17,G10,1556
1020,TEAD1,P17,G11,1595
1021,neg,P18,B02,1918
1022,TUB,P18,B03,1497
1023,NCOR2,P18,B04,1373
1024,TSC22D1,P18,B05,1259
1025,TWIST1,P18,B06,1725
1026,NCOR1,P18,B07,1896
1027,KAT2B,P18,B08,1299
1028,ZNF226,P18,B09,1348
1029,Ebf1,P18,B10,1688
1030,SAP30,P18,B11,1745
1031,Pos,P18,C02,2353
1032,HIRA,P18,C03,1389
1033,KAT2B,P18,C04,1136
1034,NCOR1,P18,C05,1343
1035,LDB1,P18,C06,958
1036,CREG1,P18,C07,1110
1037,TUB,P18,C08,1345
1038,HIRA,P18,C09,1067
1039,KDM4A,P18,C10,1351
1040,neg,P18,C11,1536
1041,neg,P18,D02,1428
1042,LDB1,P18,D03,1157
1043,TWIST1,P18,D04,1634
1044,RNF14,P18,D05,1254
1045,neg,P18,D06,1172
1046,ZNF226,P18,D07,1096
1047,TRIM24,P18,D08,1440
1048,EED,P18,D09,1177
1049,TSC22D1,P18,D10,1050
1050,BZW1,P18,D11,1622
1051,Pos,P18,E02,3533
1052,CREG1,P18,E03,1547
1053,NCOR2,P18,E04,1992
1054,Ebf1,P18,E05,1479
1055,EED,P18,E06,1239
1056,TUB,P18,E07,1302
1057,BZW1,P18,E08,1507
1058,TWIST1,P18,E09,1455
1059,LDB1,P18,E10,1593
1060,RNF14,P18,E11,1823
1061,neg,P18,F02,1479
1062,KAT2B,P18,F03,1339
1063,ZNF226,P18,F04,1379
1064,SAP30,P18,F05,1274
1065,KDM4A,P18,F06,1466
1066,HIRA,P18,F07,1205
1067,NCOR2,P18,F08,1596
1068,neg,P18,F09,1529
1069,TRIM24,P18,F10,1313
1070,KDM4A,P18,F11,1780
1071,Pos,P18,G02,2872
1072,RNF14,P18,G03,1397
1073,TRIM24,P18,G04,1465
1074,EED,P18,G05,1299
1075,BZW1,P18,G06,1655
1076,TSC22D1,P18,G07,1126
1077,Ebf1,P18,G08,1535
1078,NCOR1,P18,G09,1664
1079,SAP30,P18,G10,1607
1080,CREG1,P18,G11,1358
1081,neg,P19,B02,1806
1082,UBA52,P19,B03,1382
1083,UGP2,P19,B04,1704
1084,NR1H2,P19,B05,1579
1085,BCL10,P19,B06,1432
1086,BTG2,P19,B07,1524
1087,SQSTM1,P19,B08,1363
1088,SERTAD2,P19,B09,1249
1089,Ebf1,P19,B10,1600
1090,UBTF,P19,B11,1458
1091,Pos,P19,C02,2601
1092,BCLAF1,P19,C03,1428
1093,SQSTM1,P19,C04,1011
1094,BTG2,P19,C05,1065
1095,BUD31,P19,C06,778
1096,UBE2V1,P19,C07,1168
1097,UBA52,P19,C08,1111
1098,BCLAF1,P19,C09,1192
1099,DEK,P19,C10,1276
1100,neg,P19,C11,1259
1101,neg,P19,D02,1511
1102,BUD31,P19,D03,1121
1103,BCL10,P19,D04,1470
1104,PRDM2,P19,D05,1040
1105,neg,P19,D06,1101
1106,SERTAD2,P19,D07,1247
1107,UBP1,P19,D08,920
1108,UBB,P19,D09,5934
1109,NR1H2,P19,D10,1226
1110,FUBP1,P19,D11,1465
1111,Pos,P19,E02,2689
1112,UBE2V1,P19,E03,1211
1113,UGP2,P19,E04,1296
1114,Ebf1,P19,E05,1535
1115,UBB,P19,E06,6992
1116,UBA52,P19,E07,1065
1117,FUBP1,P19,E08,1473
1118,BCL10,P19,E09,1292
1119,BUD31,P19,E10,995
1120,PRDM2,P19,E11,1464
1121,neg,P19,F02,1500
1122,SQSTM1,P19,F03,1375
1123,SERTAD2,P19,F04,1569
1124,UBTF,P19,F05,1283
1125,DEK,P19,F06,1488
1126,BCLAF1,P19,F07,1293
1127,UGP2,P19,F08,1211
1128,neg,P19,F09,1275
1129,UBP1,P19,F10,1118
1130,DEK,P19,F11,1476
1131,Pos,P19,G02,2903
1132,PRDM2,P19,G03,1244
1133,UBP1,P19,G04,1173
1134,UBB,P19,G05,6147
1135,FUBP1,P19,G06,1462
1136,NR1H2,P19,G07,1179
1137,Ebf1,P19,G08,1314
1138,BTG2,P19,G09,1371
1139,UBTF,P19,G10,1454
1140,UBE2V1,P19,G11,1195
1141,neg,P20,B02,1787
1142,KEAP1,P20,B03,1179
1143,TAF1B,P20,B04,1231
1144,USF1,P20,B05,1384
1145,FOSL1,P20,B06,1260
1146,TRANK1,P20,B07,1057
1147,XBP1,P20,B08,1197
1148,SF1,P20,B09,1384
1149,Ebf1,P20,B10,1386
1150,TAF1C,P20,B11,1422
1151,Pos,P20,C02,2582
1152,YWHAH,P20,C03,1357
1153,XBP1,P20,C04,1005
1154,TRANK1,P20,C05,1015
1155,NCOA4,P20,C06,935
1156,ZEB2,P20,C07,1071
1157,KEAP1,P20,C08,959
1158,YWHAH,P20,C09,1096
1159,USF2,P20,C10,1428
1160,neg,P20,C11,1337
1161,neg,P20,D02,1445
1162,NCOA4,P20,D03,1274
1163,FOSL1,P20,D04,1036
1164,MED24,P20,D05,995
1165,neg,P20,D06,981
1166,SF1,P20,D07,1291
1167,FUBP3,P20,D08,1138
1168,MBD2,P20,D09,913
1169,USF1,P20,D10,970
1170,YY1,P20,D11,1299
1171,Pos,P20,E02,2529
1172,ZEB2,P20,E03,1394
1173,TAF1B,P20,E04,1123
1174,Ebf1,P20,E05,1283
1175,MBD2,P20,E06,1030
1176,KEAP1,P20,E07,964
1177,YY1,P20,E08,1152
1178,FOSL1,P20,E09,985
1179,NCOA4,P20,E10,1244
1180,MED24,P20,E11,1580
1181,neg,P20,F02,1431
1182,XBP1,P20,F03,1172
1183,SF1,P20,F04,1389
1184,TAF1C,P20,F05,1207
1185,USF2,P20,F06,1288
1186,YWHAH,P20,F07,1102
1187,TAF1B,P20,F08,1110
1188,neg,P20,F09,1297
1189,FUBP3,P20,F10,1223
1190,USF2,P20,F11,1326
1191,Pos,P20,G02,2312
1192,MED24,P20,G03,1273
1193,FUBP3,P20,G04,1531
1194,MBD2,P20,G05,1133
1195,YY1,P20,G06,1248
1196,USF1,P20,G07,1264
1197,Ebf1,P20,G08,1277
1198,TRANK1,P20,G09,980
1199,TAF1C,P20,G10,1195
1200,ZEB2,P20,G11,1375
1201,neg,P21,B02,1425
1202,THRAP3,P21,B03,1370
1203,PIAS2,P21,B04,1496
1204,DMTF1,P21,B05,1207
1205,TAF15,P21,B06,1066
1206,NR1D2,P21,B07,1363
1207,MED6,P21,B08,1163
1208,ELL,P21,B09,1771
1209,Ebf1,P21,B10,1427
1210,AIP,P21,B11,1241
1211,Pos,P21,C02,2391
1212,ZFX,P21,C03,1216
1213,MED6,P21,C04,1165
1214,NR1D2,P21,C05,1117
1215,YEATS4,P21,C06,977
1216,BAZ1B,P21,C07,1220
1217,THRAP3,P21,C08,1056
1218,ZFX,P21,C09,1372
1219,ASH2L,P21,C10,1265
1220,neg,P21,C11,1294
1221,neg,P21,D02,1400
1222,YEATS4,P21,D03,1079
1223,TAF15,P21,D04,1068
1224,BTAF1,P21,D05,1107
1225,neg,P21,D06,943
1226,ELL,P21,D07,1065
1227,UBA3,P21,D08,937
1228,MED12,P21,D09,1031
1229,DMTF1,P21,D10,1121
1230,ZFP36,P21,D11,1040
1231,Pos,P21,E02,2930
1232,BAZ1B,P21,E03,1339
1233,PIAS2,P21,E04,1223
1234,Ebf1,P21,E05,1320
1235,MED12,P21,E06,1066
1236,THRAP3,P21,E07,1043
1237,ZFP36,P21,E08,1113
1238,TAF15,P21,E09,990
1239,YEATS4,P21,E10,1443
1240,BTAF1,P21,E11,1361
1241,neg,P21,F02,1373
1242,MED6,P21,F03,1265
1243,ELL,P21,F04,1662
1244,AIP,P21,F05,1043
1245,ASH2L,P21,F06,1163
1246,ZFX,P21,F07,1301
1247,PIAS2,P21,F08,1355
1248,neg,P21,F09,1029
1249,UBA3,P21,F10,1184
1250,ASH2L,P21,F11,1166
1251,Pos,P21,G02,2283
1252,BTAF1,P21,G03,1223
1253,UBA3,P21,G04,1503
1254,MED12,P21,G05,1078
1255,ZFP36,P21,G06,1187
1256,DMTF1,P21,G07,1195
1257,Ebf1,P21,G08,1246
1258,NR1D2,P21,G09,1194
1259,AIP,P21,G10,1051
1260,BAZ1B,P21,G11,1440
1261,neg,P22,B02,1655
1262,NCOA3,P22,B03,1337
1263,TBX19,P22,B04,1314
1264,SRA1,P22,B05,1010
1265,PDLIM1,P22,B06,1240
1266,TRRAP,P22,B07,1314
1267,NMI,P22,B08,1341
1268,DNAJB6,P22,B09,1425
1269,Ebf1,P22,B10,1609
1270,ARID1A,P22,B11,1471
1271,Pos,P22,C02,2562
1272,MED16,P22,C03,697
1273,NMI,P22,C04,1096
1274,TRRAP,P22,C05,948
1275,MTA1,P22,C06,1273
1276,NRIP1,P22,C07,1105
1277,NCOA3,P22,C08,902
1278,MED16,P22,C09,1001
1279,HDAC6,P22,C10,1217
1280,neg,P22,C11,1148
1281,neg,P22,D02,1483
1282,MTA1,P22,D03,1658
1283,PDLIM1,P22,D04,1133
1284,LZTR1,P22,D05,959
1285,neg,P22,D06,1050
1286,DNAJB6,P22,D07,888
1287,CNBP,P22,D08,959
1288,ZNF3,P22,D09,1135
1289,SRA1,P22,D10,977
1290,HDAC5,P22,D11,1449
1291,Pos,P22,E02,2235
1292,NRIP1,P22,E03,1271
1293,TBX19,P22,E04,1133
1294,Ebf1,P22,E05,1483
1295,ZNF3,P22,E06,1025
1296,NCOA3,P22,E07,1275
1297,HDAC5,P22,E08,1053
1298,PDLIM1,P22,E09,1143
1299,MTA1,P22,E10,1465
1300,LZTR1,P22,E11,1633
1301,neg,P22,F02,1447
1302,NMI,P22,F03,1336
1303,DNAJB6,P22,F04,1096
1304,ARID1A,P22,F05,1103
1305,HDAC6,P22,F06,1078
1306,MED16,P22,F07,1196
1307,TBX19,P22,F08,1063
1308,neg,P22,F09,1049
1309,CNBP,P22,F10,1091
1310,HDAC6,P22,F11,1202
1311,Pos,P22,G02,2314
1312,LZTR1,P22,G03,1063
1313,CNBP,P22,G04,1194
1314,ZNF3,P22,G05,1110
1315,HDAC5,P22,G06,1346
1316,SRA1,P22,G07,1056
1317,Ebf1,P22,G08,1449
1318,TRRAP,P22,G09,1408
1319,ARID1A,P22,G10,1469
1320,NRIP1,P22,G11,1569
1321,neg,P23,B02,1737
1322,CBFA2T2,P23,B03,1442
1323,TSFM,P23,B04,1261
1324,PREB,P23,B05,1831
1325,MSC,P23,B06,1086
1326,MTA2,P23,B07,1312
1327,ZNF282,P23,B08,1394
1328,HIPK3,P23,B09,1040
1329,Ebf1,P23,B10,1637
1330,PQBP1,P23,B11,1949
1331,Pos,P23,C02,2811
1332,TEAD2,P23,C03,1922
1333,ZNF282,P23,C04,766
1334,MTA2,P23,C05,877
1335,KLF11,P23,C06,944
1336,DYRK1B,P23,C07,1001
1337,CBFA2T2,P23,C08,1303
1338,TEAD2,P23,C09,1731
1339,ZNF24,P23,C10,960
1340,neg,P23,C11,1908
1341,neg,P23,D02,1174
1342,KLF11,P23,D03,1230
1343,MSC,P23,D04,1085
1344,LRRFIP1,P23,D05,1043
1345,neg,P23,D06,1214
1346,HIPK3,P23,D07,994
1347,HUWE1,P23,D08,1114
1348,NR1H3,P23,D09,1529
1349,PREB,P23,D10,1116
1350,ZKSCAN1,P23,D11,1627
1351,Pos,P23,E02,2587
1352,DYRK1B,P23,E03,1507
1353,TSFM,P23,E04,1242
1354,Ebf1,P23,E05,1304
1355,NR1H3,P23,E06,1902
1356,CBFA2T2,P23,E07,991
1357,ZKSCAN1,P23,E08,1192
1358,MSC,P23,E09,1171
1359,KLF11,P23,E10,1998
1360,LRRFIP1,P23,E11,1374
1361,neg,P23,F02,1582
1362,ZNF282,P23,F03,1304
1363,HIPK3,P23,F04,1080
1364,PQBP1,P23,F05,1201
1365,ZNF24,P23,F06,1014
1366,TEAD2,P23,F07,1554
1367,TSFM,P23,F08,1123
1368,neg,P23,F09,1351
1369,HUWE1,P23,F10,1072
1370,ZNF24,P23,F11,1276
1371,Pos,P23,G02,2650
1372,LRRFIP1,P23,G03,1133
1373,HUWE1,P23,G04,1442
1374,NR1H3,P23,G05,1635
1375,ZKSCAN1,P23,G06,1226
1376,PREB,P23,G07,1583
1377,Ebf1,P23,G08,1536
1378,MTA2,P23,G09,1188
1379,PQBP1,P23,G10,1789
1380,DYRK1B,P23,G11,1843
1381,neg,P24,B02,1527
1382,FEM1B,P24,B03,1373
1383,ZNF197,P24,B04,1884
1384,TRIP4,P24,B05,1671
1385,SMARCA5,P24,B06,1573
1386,TRIP11,P24,B07,2310
1387,THOC4,P24,B08,1236
1388,GAS7,P24,B09,1738
1389,Ebf1,P24,B10,1546
1390,TRIM28,P24,B11,1565
1391,Pos,P24,C02,3379
1392,ZBTB25,P24,C03,1639
1393,THOC4,P24,C04,1353
1394,TRIP11,P24,C05,1832
1395,TSHZ1,P24,C06,1110
1396,KLF4,P24,C07,1232
1397,FEM1B,P24,C08,1465
1398,ZBTB25,P24,C09,1283
1399,ZNHIT3,P24,C10,1195
1400,neg,P24,C11,1224
1401,neg,P24,D02,1955
1402,TSHZ1,P24,D03,1373
1403,SMARCA5,P24,D04,1182
1404,TOB1,P24,D05,1262
1405,neg,P24,D06,1327
1406,GAS7,P24,D07,1100
1407,COPS2,P24,D08,1179
1408,MED14,P24,D09,1228
1409,TRIP4,P24,D10,1280
1410,GTF3C5,P24,D11,1223
1411,Pos,P24,E02,2962
1412,KLF4,P24,E03,1616
1413,ZNF197,P24,E04,1332
1414,Ebf1,P24,E05,1714
1415,MED14,P24,E06,1202
1416,FEM1B,P24,E07,1033
1417,GTF3C5,P24,E08,1407
1418,SMARCA5,P24,E09,1564
1419,TSHZ1,P24,E10,1238
1420,TOB1,P24,E11,1965
1421,neg,P24,F02,1907
1422,THOC4,P24,F03,1611
1423,GAS7,P24,F04,1898
1424,TRIM28,P24,F05,1356
1425,ZNHIT3,P24,F06,1385
1426,ZBTB25,P24,F07,1041
1427,ZNF197,P24,F08,1302
1428,neg,P24,F09,1399
1429,COPS2,P24,F10,1416
1430,ZNHIT3,P24,F11,1505
1431,Pos,P24,G02,2616
1432,TOB1,P24,G03,1186
1433,COPS2,P24,G04,1656
1434,MED14,P24,G05,1579
1435,GTF3C5,P24,G06,1682
1436,TRIP4,P24,G07,1550
1437,Ebf1,P24,G08,1513
1438,TRIP11,P24,G09,1891
1439,TRIM28,P24,G10,1476
1440,KLF4,P24,G11,1917
1441,neg,P25,B02,1452
1442,CSDA,P25,B03,1131
1443,GTF3C3,P25,B04,1328
1444,CNOT8,P25,B05,1436
1445,MED21,P25,B06,1305
1446,BHLHE40,P25,B07,1534
1447,SNAPC5,P25,B08,1507
1448,HMG20B,P25,B09,1030
1449,Ebf1,P25,B10,1417
1450,BLZF1,P25,B11,1320
1451,Pos,P25,C02,2477
1452,TRIM22,P25,C03,1549
1453,SNAPC5,P25,C04,1271
1454,BHLHE40,P25,C05,1568
1455,ZRANB2,P25,C06,1098
1456,ZNF91,P25,C07,1276
1457,CSDA,P25,C08,1017
1458,TRIM22,P25,C09,1053
1459,SAP18,P25,C10,1246
1460,neg,P25,C11,1333
1461,neg,P25,D02,1246
1462,ZRANB2,P25,D03,1203
1463,MED21,P25,D04,1019
1464,PIR,P25,D05,1118
1465,neg,P25,D06,1021
1466,HMG20B,P25,D07,1006
1467,LMO4,P25,D08,884
1468,CBX4,P25,D09,884
1469,CNOT8,P25,D10,1113
1470,CIAO1,P25,D11,1682
1471,Pos,P25,E02,2515
1472,ZNF91,P25,E03,1542
1473,GTF3C3,P25,E04,1091
1474,Ebf1,P25,E05,1137
1475,CBX4,P25,E06,1041
1476,CSDA,P25,E07,1026
1477,CIAO1,P25,E08,1010
1478,MED21,P25,E09,1393
1479,ZRANB2,P25,E10,1254
1480,PIR,P25,E11,1703
1481,neg,P25,F02,1432
1482,SNAPC5,P25,F03,1310
1483,HMG20B,P25,F04,1185
1484,BLZF1,P25,F05,1077
1485,SAP18,P25,F06,1348
1486,TRIM22,P25,F07,927
1487,GTF3C3,P25,F08,1120
1488,neg,P25,F09,1159
1489,LMO4,P25,F10,926
1490,SAP18,P25,F11,1561
1491,Pos,P25,G02,2422
1492,PIR,P25,G03,1422
1493,LMO4,P25,G04,1095
1494,CBX4,P25,G05,883
1495,CIAO1,P25,G06,1469
1496,CNOT8,P25,G07,1352
1497,Ebf1,P25,G08,1576
1498,BHLHE40,P25,G09,1451
1499,BLZF1,P25,G10,1334
1500,ZNF91,P25,G11,1665
1501,neg,P26,B02,1351
1502,HMG20A,P26,B03,1328
1503,ZNF138,P26,B04,1124
1504,KLF7,P26,B05,1338
1505,MED23,P26,B06,1125
1506,RUVBL1,P26,B07,1171
1507,ZNF143,P26,B08,1080
1508,IRF9,P26,B09,1034
1509,Ebf1,P26,B10,1303
1510,STK16,P26,B11,1822
1511,Pos,P26,C02,2090
1512,CITED2,P26,C03,1325
1513,ZNF143,P26,C04,991
1514,RUVBL1,P26,C05,1116
1515,C19orf2,P26,C06,752
1516,KLF2,P26,C07,1493
1517,HMG20A,P26,C08,1200
1518,CITED2,P26,C09,976
1519,RFXANK,P26,C10,1227
1520,neg,P26,C11,1053
1521,neg,P26,D02,1096
1522,C19orf2,P26,D03,904
1523,MED23,P26,D04,1406
1524,CASK,P26,D05,958
1525,neg,P26,D06,1004
1526,IRF9,P26,D07,984
1527,PIAS1,P26,D08,823
1528,CDYL,P26,D09,957
1529,KLF7,P26,D10,1109
1530,EDF1,P26,D11,957
1531,Pos,P26,E02,2284
1532,KLF2,P26,E03,1396
1533,ZNF138,P26,E04,1009
1534,Ebf1,P26,E05,1237
1535,CDYL,P26,E06,916
1536,HMG20A,P26,E07,945
1537,EDF1,P26,E08,886
1538,MED23,P26,E09,1103
1539,C19orf2,P26,E10,1050
1540,CASK,P26,E11,1160
1541,neg,P26,F02,1044
1542,ZNF143,P26,F03,1415
1543,IRF9,P26,F04,1399
1544,STK16,P26,F05,1369
1545,RFXANK,P26,F06,950
1546,CITED2,P26,F07,1321
1547,ZNF138,P26,F08,1315
1548,neg,P26,F09,1081
1549,PIAS1,P26,F10,1061
1550,RFXANK,P26,F11,1230
1551,Pos,P26,G02,2428
1552,CASK,P26,G03,983
1553,PIAS1,P26,G04,970
1554,CDYL,P26,G05,1040
1555,EDF1,P26,G06,862
1556,KLF7,P26,G07,1346
1557,Ebf1,P26,G08,1285
1558,RUVBL1,P26,G09,1107
1559,STK16,P26,G10,1965
1560,KLF2,P26,G11,1513
1561,neg,P27,B02,1530
1562,MED17,P27,B03,1033
1563,MED20,P27,B04,1018
1564,SLC30A9,P27,B05,961
1565,NFAT5,P27,B06,1053
1566,RBM14,P27,B07,1098
1567,MGA,P27,B08,1231
1568,ADNP,P27,B09,1430
1569,Ebf1,P27,B10,1279
1570,PGRMC2,P27,B11,1121
1571,Pos,P27,C02,2612
1572,POLD3,P27,C03,1240
1573,MGA,P27,C04,944
1574,RBM14,P27,C05,1295
1575,SIN3B,P27,C06,647
1576,MED26,P27,C07,1283
1577,MED17,P27,C08,1288
1578,POLD3,P27,C09,1031
1579,KANK1,P27,C10,1309
1580,neg,P27,C11,1556
1581,neg,P27,D02,1098
1582,SIN3B,P27,D03,1084
1583,NFAT5,P27,D04,949
1584,YAP1,P27,D05,781
1585,neg,P27,D06,1021
1586,ADNP,P27,D07,983
1587,PIAS3,P27,D08,881
1588,BPNT1,P27,D09,1103
1589,SLC30A9,P27,D10,1080
1590,CTCF,P27,D11,1339
1591,Pos,P27,E02,2440
1592,MED26,P27,E03,1313
1593,MED20,P27,E04,984
1594,Ebf1,P27,E05,1359
1595,BPNT1,P27,E06,900
1596,MED17,P27,E07,939
1597,CTCF,P27,E08,1217
1598,NFAT5,P27,E09,1040
1599,SIN3B,P27,E10,1258
1600,YAP1,P27,E11,1051
1601,neg,P27,F02,1374
1602,MGA,P27,F03,1219
1603,ADNP,P27,F04,1086
1604,PGRMC2,P27,F05,1164
1605,KANK1,P27,F06,1189
1606,POLD3,P27,F07,1195
1607,MED20,P27,F08,934
1608,neg,P27,F09,1244
1609,PIAS3,P27,F10,1069
1610,KANK1,P27,F11,1275
1611,Pos,P27,G02,2477
1612,YAP1,P27,G03,1176
1613,PIAS3,P27,G04,1406
1614,BPNT1,P27,G05,795
1615,CTCF,P27,G06,1067
1616,SLC30A9,P27,G07,1395
1617,Ebf1,P27,G08,1431
1618,RBM14,P27,G09,1208
1619,PGRMC2,P27,G10,1394
1620,MED26,P27,G11,1302
1621,neg,P28,B02,1248
1622,SIRT1,P28,B03,1099
1623,GATAD2A,P28,B04,1128
1624,PYCARD,P28,B05,1032
1625,KDM5B,P28,B06,923
1626,MED4,P28,B07,1289
1627,ANKHD1,P28,B08,1245
1628,TARDBP,P28,B09,910
1629,Ebf1,P28,B10,1211
1630,KLF15,P28,B11,1196
1631,Pos,P28,C02,2594
1632,BRF2,P28,C03,1585
1633,ANKHD1,P28,C04,1256
1634,MED4,P28,C05,1230
1635,UBN1,P28,C06,1455
1636,PHTF1,P28,C07,1107
1637,SIRT1,P28,C08,1041
1638,BRF2,P28,C09,1411
1639,SAP30BP,P28,C10,889
1640,neg,P28,C11,1304
1641,neg,P28,D02,1128
1642,UBN1,P28,D03,1567
1643,KDM5B,P28,D04,1014
1644,MPHOSPH8,P28,D05,909
1645,neg,P28,D06,1040
1646,TARDBP,P28,D07,861
1647,HIPK2,P28,D08,1062
1648,ZFPM2,P28,D09,794
1649,PYCARD,P28,D10,840
1650,ANKZF1,P28,D11,1025
1651,Pos,P28,E02,2212
1652,PHTF1,P28,E03,1168
1653,GATAD2A,P28,E04,798
1654,Ebf1,P28,E05,1144
1655,ZFPM2,P28,E06,711
1656,SIRT1,P28,E07,1028
1657,ANKZF1,P28,E08,964
1658,KDM5B,P28,E09,1094
1659,UBN1,P28,E10,1446
1660,MPHOSPH8,P28,E11,1326
1661,neg,P28,F02,1438
1662,ANKHD1,P28,F03,1232
1663,TARDBP,P28,F04,1105
1664,KLF15,P28,F05,873
1665,SAP30BP,P28,F06,1293
1666,BRF2,P28,F07,1204
1667,GATAD2A,P28,F08,1078
1668,neg,P28,F09,1283
1669,HIPK2,P28,F10,1312
1670,SAP30BP,P28,F11,1188
1671,Pos,P28,G02,2191
1672,MPHOSPH8,P28,G03,954
1673,HIPK2,P28,G04,1423
1674,ZFPM2,P28,G05,947
1675,ANKZF1,P28,G06,954
1676,PYCARD,P28,G07,1105
1677,Ebf1,P28,G08,1269
1678,MED4,P28,G09,1069
1679,KLF15,P28,G10,1037
1680,PHTF1,P28,G11,1126
1681,neg,P29,B02,1202
1682,ZNF268,P29,B03,1080
1683,ZMYND8,P29,B04,1003
1684,CNOT7,P29,B05,1169
1685,CDKN2AIP,P29,B06,992
1686,TCERG1,P29,B07,1378
1687,HES6,P29,B08,1269
1688,ANKRD10,P29,B09,1182
1689,Ebf1,P29,B10,1335
1690,RBFOX2,P29,B11,1331
1691,Pos,P29,C02,2696
1692,LMCD1,P29,C03,839
1693,HES6,P29,C04,1587
1694,TCERG1,P29,C05,1594
1695,NRBF2,P29,C06,1225
1696,MYST4,P29,C07,1180
