"","Image_Metadata_Well","Signal","Image_Metadata_Plate","patient","Conc"
"2","A03",121,"P11","P4",0
"3","A04",172,"P11","P4",0.9375
"4","A05",243,"P11","P4",1.875
"5","A06",378,"P11","P4",3.75
"6","A07",694,"P11","P4",7.5
"7","A08",1256,"P11","P4",15
"8","A09",2455,"P11","P4",30
"9","A10",4052,"P11","P4",60
