"","ImageNumber","Image_Metadata_GeneID","Image_Metadata_Plate","Image_Metadata_Well","Signal"
"136",136,"RXRA","P03","C07",485
"137",137,"ZFP36L1","P03","C08",980
"138",138,"SMAD1","P03","C09",490
"139",139,"MED20","P03","C10",576
"140",140,"Neu. ctrl.","P03","C11",711
"141",141,"Neu. ctrl.","P03","D02",677
"142",142,"MYNN","P03","D03",1129
"143",143,"TARDBP","P03","D04",568
"144",144,"SRA1","P03","D05",655
"145",145,"Neu. ctrl.","P03","D06",624
"146",146,"BTF3","P03","D07",663
"147",147,"TAF9B","P03","D08",588
"148",148,"TRIP11","P03","D09",780
"149",149,"SP1","P03","D10",922
"150",150,"ATF7IP","P03","D11",538
"151",151,"siPLIN1","P03","E02",1419
"152",152,"RXRA","P03","E03",614
"153",153,"SOX12","P03","E04",747
"154",154,"PLRG1","P03","E05",778
"155",155,"TRIP11","P03","E06",774
"156",156,"ZFP36L1","P03","E07",915
"157",157,"ATF7IP","P03","E08",579
"158",158,"TARDBP","P03","E09",590
"159",159,"MYNN","P03","E10",581
"160",160,"SRA1","P03","E11",700
"161",161,"Neu. ctrl.","P03","F02",756
"162",162,"SUB1","P03","F03",696
"163",163,"BTF3","P03","F04",595
"164",164,"NFKBIE","P03","F05",899
"165",165,"MED20","P03","F06",665
"166",166,"SMAD1","P03","F07",495
"167",167,"SOX12","P03","F08",803
"168",168,"Neu. ctrl.","P03","F09",688
"169",169,"TAF9B","P03","F10",532
"170",170,"MED20","P03","F11",598
"171",171,"siPLIN1","P03","G02",1466
"172",172,"SRA1","P03","G03",655
"173",173,"TAF9B","P03","G04",530
"174",174,"TRIP11","P03","G05",726
"175",175,"ATF7IP","P03","G06",541
"176",176,"SP1","P03","G07",958
"177",177,"PLRG1","P03","G08",775
"178",178,"NFX1","P03","G09",516
"179",179,"NFKBIE","P03","G10",850
"180",180,"RXRA","P03","G11",580
"181",181,"Neu. ctrl.","P04","B02",710
"182",182,"RFX2","P04","B03",851
"183",183,"TRIM33","P04","B04",642
